N,sigma,accuracy,false_capture,sep_min,sep_mean
8,0.0,0.9674,0.0326,0.9932,0.9964
32,0.0,0.9674,0.0326,0.9932,0.9967
128,0.0,0.9674,0.0326,0.9932,0.9968
512,0.0,0.9674,0.0326,0.9932,0.9968
1024,0.0,0.9674,0.0326,0.9932,0.9968
8,0.02,0.8674,0.1326,0.9742,0.9906
32,0.02,0.9565,0.0435,0.9657,0.9918
128,0.02,0.9239,0.0761,0.9495,0.9921
512,0.02,0.9674,0.0326,0.94,0.9922
1024,0.02,0.9674,0.0326,0.9331,0.9921
8,0.05,0.3957,0.6043,0.9024,0.9645
32,0.05,0.5978,0.4022,0.8463,0.9675
128,0.05,0.7739,0.2261,0.7782,0.9678
512,0.05,0.7304,0.2696,0.7426,0.9683
1024,0.05,0.6565,0.3435,0.715,0.9678
8,0.1,0.387,0.613,0.6883,0.8827
32,0.1,0.4391,0.5609,0.4306,0.8858
128,0.1,0.663,0.337,0.2827,0.8871
512,0.1,0.4391,0.5609,0.0211,0.8871
1024,0.1,0.4761,0.5239,-0.065,0.8852
8,0.2,0.3717,0.6283,0.0605,0.6414
32,0.2,0.3804,0.6196,-0.479,0.639
128,0.2,0.3891,0.6109,-0.8273,0.6423
512,0.2,0.213,0.787,-0.9822,0.635
1024,0.2,0.3043,0.6957,-0.9975,0.6303
